Total female entries: 96,320

Rank  Name          Number       95%     %-age  Cumulative
                    in Sample    Conf.          %-age
----  ----          ---------    -----   ------  ----------
   1              MARY  13057 +- 207.2  13.56%  13.56%
   2             SARAH   6545 +- 152.3   6.80%  20.35%
   3         ELIZABETH   5129 +- 135.9   5.32%  25.68%
   4            MARTHA   2738 +- 100.6   2.84%  28.52%
   5          MARGARET   2654 +- 99.1    2.76%  31.27%
   6             NANCY   2579 +- 97.7    2.68%  33.95%
   7               ANN   2384 +- 94.0    2.48%  36.43%
   8              JANE   2219 +- 90.8    2.30%  38.73%
   9             ELIZA   2027 +- 86.9    2.10%  40.83%
  10         CATHARINE   1963 +- 85.5    2.04%  42.87%
  11             SUSAN   1709 +- 79.9    1.77%  44.65%
  12            HANNAH   1476 +- 74.3    1.53%  46.18%
  13           REBECCA   1263 +- 68.9    1.31%  47.49%
  14          CAROLINE   1187 +- 66.8    1.23%  48.72%
  15             ELLEN   1183 +- 66.7    1.23%  49.95%
  16           HARRIET   1133 +- 65.3    1.18%  51.13%
  17            LOUISA   1013 +- 61.7    1.05%  52.18%
  18             MARIA    998 +- 61.3    1.04%  53.22%
  19             JULIA    914 +- 58.7    0.95%  54.16%
  20         CATHERINE    900 +- 58.2    0.93%  55.10%
  21              LUCY    863 +- 57.0    0.90%  55.99%
  22             LYDIA    796 +- 54.8    0.83%  56.82%
  23              ANNA    788 +- 54.5    0.82%  57.64%
  24             EMILY    714 +- 51.9    0.74%  58.38%
  25         ELISABETH    614 +- 48.2    0.64%  59.02%
  26            AMANDA    606 +- 47.9    0.63%  59.65%
  27           FRANCES    606 +- 47.9    0.63%  60.28%
  28             SALLY    550 +- 45.6    0.57%  60.85%
  29            RACHEL    542 +- 45.3    0.56%  61.41%
  30           MATILDA    527 +- 44.6    0.55%  61.96%
  31           LUCINDA    524 +- 44.5    0.54%  62.50%
  32              EMMA    491 +- 43.1    0.51%  63.01%
  33             POLLY    443 +- 41.0    0.46%  63.47%
  34             PHEBE    433 +- 40.5    0.45%  63.92%
  35         CHARLOTTE    423 +- 40.0    0.44%  64.36%
  36            BETSEY    416 +- 39.7    0.43%  64.79%
  37           BRIDGET    416 +- 39.7    0.43%  65.22%
  38                 M    404 +- 39.1    0.42%  65.64%
  39                 ?    373 +- 37.6    0.39%  66.03%
  40            SOPHIA    366 +- 37.2    0.38%  66.41%
  41           FRANCIS    361 +- 37.0    0.37%  66.78%
  42             LAURA    346 +- 36.2    0.36%  67.14%
  43              RUTH    344 +- 36.1    0.36%  67.50%
  44           EMELINE    313 +- 34.4    0.32%  67.83%
  45            ESTHER    310 +- 34.3    0.32%  68.15%
  46            AMELIA    298 +- 33.6    0.31%  68.46%
  47          ISABELLA    297 +- 33.6    0.31%  68.77%
  48             FANNY    291 +- 33.2    0.30%  69.07%
  49           ABIGAIL    272 +- 32.1    0.28%  69.35%
  50           BARBARA    263 +- 31.6    0.27%  69.62%
  51           RACHAEL    246 +- 30.5    0.26%  69.88%
  52                 E    237 +- 30.0    0.25%  70.12%
  53         JOSEPHINE    228 +- 29.4    0.24%  70.36%
  54           SUSANNA    218 +- 28.8    0.23%  70.59%
  55            MARIAH    217 +- 28.7    0.23%  70.81%
  56             ALICE    216 +- 28.6    0.22%  71.04%
  57         HENRIETTA    214 +- 28.5    0.22%  71.26%
  58         MARGARETT    206 +- 28.0    0.21%  71.47%
  59           MALINDA    200 +- 27.6    0.21%  71.68%
  60           ADALINE    189 +- 26.8    0.20%  71.88%
  61             HELEN    185 +- 26.5    0.19%  72.07%
  62          CLARISSA    185 +- 26.5    0.19%  72.26%
  63             BETSY    181 +- 26.2    0.19%  72.45%
  64            ALMIRA    180 +- 26.1    0.19%  72.64%
  65          SUSANNAH    180 +- 26.1    0.19%  72.82%
  66             RHODA    176 +- 25.8    0.18%  73.01%
  67           CYNTHIA    175 +- 25.8    0.18%  73.19%
  68            EUNICE    174 +- 25.7    0.18%  73.37%
  69             OLIVE    168 +- 25.3    0.17%  73.54%
  70          VIRGINIA    166 +- 25.1    0.17%  73.71%
  71               MRS    165 +- 25.0    0.17%  73.89%
  72          ANGELINE    164 +- 25.0    0.17%  74.06%
  73            HELLEN    157 +- 24.4    0.16%  74.22%
  74          CORNELIA    155 +- 24.3    0.16%  74.38%
  75          HARRIETT    154 +- 24.2    0.16%  74.54%
  76                 S    153 +- 24.1    0.16%  74.70%
  77            MAHALA    152 +- 24.0    0.16%  74.86%
  78              ABBY    152 +- 24.0    0.16%  75.01%
  79           MARGRET    152 +- 24.0    0.16%  75.17%
  80           DEBORAH    150 +- 23.9    0.16%  75.33%
  81           MINERVA    147 +- 23.6    0.15%  75.48%
  82            LAVINA    141 +- 23.1    0.15%  75.63%
  83           ADELINE    140 +- 23.1    0.15%  75.77%
  84              CATH    140 +- 23.1    0.15%  75.92%
  85             ELISA    130 +- 22.2    0.13%  76.05%
  86          LUCRETIA    128 +- 22.0    0.13%  76.19%
  87              ANNE    124 +- 21.7    0.13%  76.31%
  88                 A    123 +- 21.6    0.13%  76.44%
  89           ELEANOR    122 +- 21.5    0.13%  76.57%
  90            JOANNA    121 +- 21.4    0.13%  76.69%
  91            HESTER    121 +- 21.4    0.13%  76.82%
  92             AGNES    118 +- 21.2    0.12%  76.94%
  93           ROSANNA    113 +- 20.7    0.12%  77.06%
  94             CLARA    110 +- 20.4    0.11%  77.17%
  95                 C    109 +- 20.3    0.11%  77.29%
  96           MELISSA    109 +- 20.3    0.11%  77.40%
  97           CHARITY    108 +- 20.3    0.11%  77.51%
  98               AMY    107 +- 20.2    0.11%  77.62%
  99           AUGUSTA    104 +- 19.9    0.11%  77.73%
 100             DELIA     99 +- 19.4    0.10%  77.83%
 101            ISABEL     94 +- 18.9    0.10%  77.93%
 102                 L     93 +- 18.8    0.10%  78.03%
 103         CHRISTINA     93 +- 18.8    0.10%  78.12%
 104            JEMIMA     92 +- 18.7    0.10%  78.22%
 105          CORDELIA     88 +- 18.3    0.09%  78.31%
 106           BARBARY     87 +- 18.2    0.09%  78.40%
 107           MELINDA     83 +- 17.8    0.09%  78.49%
 108            DELILA     82 +- 17.7    0.09%  78.57%
 109           SUSANAH     80 +- 17.4    0.08%  78.66%
 110            ELVIRA     80 +- 17.4    0.08%  78.74%
 111        CHRISTIANA     80 +- 17.4    0.08%  78.82%
 112         PRISCILLA     80 +- 17.4    0.08%  78.91%
 113           EMALINE     77 +- 17.1    0.08%  78.99%
 114              LEAH     74 +- 16.8    0.08%  79.06%
 115             CELIA     72 +- 16.5    0.07%  79.14%
 116            MARG.T     71 +- 16.4    0.07%  79.21%
 117               EVE     71 +- 16.4    0.07%  79.28%
 118            REBECA     71 +- 16.4    0.07%  79.36%
 119              ROSE     70 +- 16.3    0.07%  79.43%
 120            HULDAH     69 +- 16.2    0.07%  79.50%
 121            JUDITH     67 +- 16.0    0.07%  79.57%
 122          PERMELIA     67 +- 16.0    0.07%  79.64%
 123          CHARLOTT     65 +- 15.7    0.07%  79.71%
 124         SOPHRONIA     65 +- 15.7    0.07%  79.78%
 125           EVELINE     65 +- 15.7    0.07%  79.84%
 126           MALISSA     65 +- 15.7    0.07%  79.91%
 127             MARGT     65 +- 15.7    0.07%  79.98%
 128            ELECTA     64 +- 15.6    0.07%  80.05%
 129            PHOEBE     63 +- 15.5    0.07%  80.11%
 130              ELLA     62 +- 15.4    0.06%  80.18%
 131           ABAGAIL     62 +- 15.4    0.06%  80.24%
 132             EMELY     61 +- 15.2    0.06%  80.30%
 133              ELIZ     61 +- 15.2    0.06%  80.37%
 134               MAY     60 +- 15.1    0.06%  80.43%
 135            JULIAN     59 +- 15.0    0.06%  80.49%
 136                 N     59 +- 15.0    0.06%  80.55%
 137            LOVINA     58 +- 14.8    0.06%  80.61%
 138          CLARINDA     56 +- 14.6    0.06%  80.67%
 139            SUSANA     56 +- 14.6    0.06%  80.73%
 140            ADELIA     56 +- 14.6    0.06%  80.79%
 141                 H     55 +- 14.5    0.06%  80.84%
 142                 J     55 +- 14.5    0.06%  80.90%
 143           AMERICA     55 +- 14.5    0.06%  80.96%
