Total entries: 197,678

Rank  Name          Number       95%     %-age  Cumulative
                    in Sample    Conf.          %-age
----  ----          ---------    -----   ------  ----------


   1  SMITH              2598 +- 225.2   1.31%   1.31%
   2  BROWN              1375 +- 164.4   0.70%   2.01%
   3  MILLER             1371 +- 164.1   0.69%   2.70%
   4  JOHNSON            1144 +- 150.0   0.58%   3.28%
   5  JONES              1078 +- 145.6   0.55%   3.83%
   6  DAVIS              1025 +- 142.0   0.52%   4.35%
   7  WILLIAMS            979 +- 138.8   0.50%   4.84%
   8  WILSON              753 +- 121.8   0.38%   5.22%
   9  CLARK               734 +- 120.3   0.37%   5.59%
  10  TAYLOR              703 +- 117.7   0.36%   5.95%
  11  THOMPSON            659 +- 114.0   0.33%   6.28%
  12  WHITE               653 +- 113.5   0.33%   6.61%
  13  MOORE               607 +- 109.4   0.31%   6.92%
  14  MARTIN              582 +- 107.1   0.29%   7.21%
  15  BAKER               554 +- 104.5   0.28%   7.49%
  16  HALL                554 +- 104.5   0.28%   7.77%
  17  ALLEN               540 +- 103.2   0.27%   8.05%
  18  WRIGHT              519 +- 101.2   0.26%   8.31%
  19  THOMAS              515 +- 100.8   0.26%   8.57%
  20  ADAMS               514 +- 100.7   0.26%   8.83%
  21  WOOD                454 +- 94.7    0.23%   9.06%
  22  ROBINSON            441 +- 93.3    0.22%   9.28%
  23  JACKSON             432 +- 92.3    0.22%   9.50%
  24  HILL                425 +- 91.6    0.21%   9.72%
  25  YOUNG               417 +- 90.7    0.21%   9.93%
  26  GREEN               415 +- 90.5    0.21%  10.14%
  27  ANDERSON            414 +- 90.4    0.21%  10.35%
  28  PARKER              412 +- 90.2    0.21%  10.56%
  29  COOK                405 +- 89.4    0.20%  10.76%
  30  SCOTT               399 +- 88.8    0.20%  10.96%
  31  KING                393 +- 88.1    0.20%  11.16%
  32  HARRIS              375 +- 86.1    0.19%  11.35%
  33  WALKER              370 +- 85.5    0.19%  11.54%
  34  LEWIS               365 +- 84.9    0.18%  11.72%
  35  LEE                 338 +- 81.7    0.17%  11.89%
  36  REED                329 +- 80.6    0.17%  12.06%
  37  HOWARD              329 +- 80.6    0.17%  12.23%
  38  ROBERTS             328 +- 80.5    0.17%  12.39%
  39  CAMPBELL            325 +- 80.1    0.16%  12.56%
  40  KELLY               315 +- 78.9    0.16%  12.72%
  41  EVANS               310 +- 78.3    0.16%  12.87%
  42  COLLINS             297 +- 76.6    0.15%  13.02%
  43  STEVENS             296 +- 76.5    0.15%  13.17%
  44  STEWART             295 +- 76.3    0.15%  13.32%
  45  FOSTER              295 +- 76.3    0.15%  13.47%
  46  COOPER              286 +- 75.2    0.14%  13.62%
  47  WARD                284 +- 74.9    0.14%  13.76%
  48  COX                 284 +- 74.9    0.14%  13.90%
  49  RICE                281 +- 74.5    0.14%  14.05%
  50  COLE                275 +- 73.7    0.14%  14.19%
  51  PERRY               270 +- 73.0    0.14%  14.32%
  52  ROGERS              267 +- 72.6    0.14%  14.46%
  53  RICHARDSON          265 +- 72.4    0.13%  14.59%
  54  BELL                263 +- 72.1    0.13%  14.72%
  55  BAILEY              262 +- 71.9    0.13%  14.86%
  56  SNYDER              261 +- 71.8    0.13%  14.99%
  57  WELLS               261 +- 71.8    0.13%  15.12%
  58  STONE               261 +- 71.8    0.13%  15.25%
  59  MORRIS              257 +- 71.3    0.13%  15.38%
  60  MORGAN              255 +- 71.0    0.13%  15.51%
  61  EDWARDS             250 +- 70.3    0.13%  15.64%
  62  ROSS                247 +- 69.9    0.12%  15.76%
  63  TURNER              246 +- 69.7    0.12%  15.89%
  64  GRAY                245 +- 69.6    0.12%  16.01%
  65  FISHER              243 +- 69.3    0.12%  16.13%
  66  HAMILTON            242 +- 69.2    0.12%  16.26%
  67  MITCHELL            241 +- 69.0    0.12%  16.38%
  68  RUSSELL             239 +- 68.7    0.12%  16.50%
  69  WATSON              239 +- 68.7    0.12%  16.62%
  70  WEAVER              238 +- 68.6    0.12%  16.74%
  71  CARTER              238 +- 68.6    0.12%  16.86%
  72  MYERS               238 +- 68.6    0.12%  16.98%
  73  PORTER              236 +- 68.3    0.12%  17.10%
  74  PALMER              233 +- 67.9    0.12%  17.22%
  75  RILEY               232 +- 67.7    0.12%  17.34%
  76  HUNT                231 +- 67.6    0.12%  17.45%
  77  LONG                229 +- 67.3    0.12%  17.57%
  78  WHEELER             228 +- 67.1    0.12%  17.68%
  79  BROOKS              220 +- 65.9    0.11%  17.80%
  80  BENNETT             217 +- 65.5    0.11%  17.91%
  81  TUCKER              213 +- 64.9    0.11%  18.01%
  82  MURPHY              212 +- 64.7    0.11%  18.12%
  83  ELLIS               210 +- 64.4    0.11%  18.23%
  84  ALEXANDER           209 +- 64.3    0.11%  18.33%
  85  PHILLIPS            205 +- 63.7    0.10%  18.44%
  86  BURNS               204 +- 63.5    0.10%  18.54%
  87  POWELL              203 +- 63.3    0.10%  18.64%
  88  MASON               200 +- 62.9    0.10%  18.74%
  89  PATTERSON           198 +- 62.6    0.10%  18.84%
  90  HAWKINS             198 +- 62.6    0.10%  18.94%
  91  FULLER              197 +- 62.4    0.10%  19.04%
  92  BARNES              197 +- 62.4    0.10%  19.14%
  93  BOYD                194 +- 61.9    0.10%  19.24%
  94  SULLIVAN            193 +- 61.8    0.10%  19.34%
  95  DAY                 193 +- 61.8    0.10%  19.44%
  96  JOHNSTON            193 +- 61.8    0.10%  19.53%
  97  HARRISON            192 +- 61.6    0.10%  19.63%
  98  CARPENTER           190 +- 61.3    0.10%  19.73%
  99  ARNOLD              188 +- 61.0    0.10%  19.82%
 100  SHAW                188 +- 61.0    0.10%  19.92%
 101  ARMSTRONG           188 +- 61.0    0.10%  20.01%
 102  HENRY               187 +- 60.8    0.09%  20.11%
 103  ANDREWS             186 +- 60.6    0.09%  20.20%
 104  WELCH               185 +- 60.5    0.09%  20.29%
 105  REYNOLDS            184 +- 60.3    0.09%  20.39%
 106  GARDNER             184 +- 60.3    0.09%  20.48%
 107  HART                182 +- 60.0    0.09%  20.57%
 108  HENDERSON           182 +- 60.0    0.09%  20.66%
 109  MARSHALL            182 +- 60.0    0.09%  20.76%
 110  PRATT               181 +- 59.8    0.09%  20.85%
